ESTATE,DIVISI,BLOK,TT,LUAS TANAM, TOTAL PKK ,SPH,HASIL SENSUS GANODERMA (PKK),,,% SERANGAN,YANG SUDAH REALISASI APLIKASI CHIPS,
,,,,,,,,,,,,
,,,,,,,STADIUM 1 & 2,STADIUM 3 & 4, TOTAL ,, HA , PKK 
AME,AME004,B012A,2016, 26.0 ," 3,574 ", 137 , 13 , 1 , 14 ,0.4%,,
AME,AME004,B012B,2018, 3.5 , 493 , 141 , -   , -   , -   ,0.0%,,
AME,AME004,B012C,2019, 0.4 , 70 , 175 , -   , -   , -   ,0.0%,,
AME,AME004,B013A,2016, 25.2 ," 3,275 ", 130 , 20 , 3 , 23 ,0.7%,,
AME,AME004,B013B,2018, 2.4 , 327 , 136 , -   , -   , -   ,0.0%,,
AME,AME004,B014A,2013, 4.0 , 517 , 129 , 50 , 18 , 68 ,13.2%, 4.0 , 68 
AME,AME004,B014B,2018, 5.1 , 752 , 147 , 1 , -   , 1 ,0.1%,,
AME,AME004,B014C,2019, 14.3 ," 1,935 ", 135 , -   , -   , -   ,0.0%,,
AME,AME004,B014D,2020, 0.6 , 78 , 130 , -   , -   , -   ,0.0%,,
AME,AME004,B014E,2021, 6.9 , 954 , 138 , -   , -   , -   ,0.0%,,
AME,AME004,B015A,2013, 0.6 , 61 , 102 , 1 , -   , 1 ,1.6%,,
AME,AME004,B015B,2017, 1.6 , 239 , 149 , -   , -   , -   ,0.0%,,
AME,AME004,B015C,2021, 3.3 , 436 , 132 , -   , -   , -   ,0.0%,,
AME,AME004,B015D,2023, 4.3 , 589 , 137 , -   , -   , -   ,0.0%,,
,AME004,B015E,2025, 1.1 , 139 , 126 , -   , -   , -   ,0.0%,,
AME,AME004,B016A,2013, 0.9 , 139 , 154 , 1 , -   , 1 ,0.7%,,
AME,AME004,B016B,2017, 1.0 , 141 , 141 , -   , -   , -   ,0.0%,,
AME,AME004,B016C,2018, 0.5 , 63 , 126 , -   , -   , -   ,0.0%,,
AME,AME004,B016D,2019, 0.1 , 14 , 140 , -   , -   , -   ,0.0%,,
AME,AME004,B016E,2021, 2.1 , 277 , 132 , -   , -   , -   ,0.0%,,
AME,AME004,B016F,2022, 1.9 , 245 , 129 , -   , -   , -   ,0.0%,,
AME,AME004,B016G,2023, 0.9 , 127 , 141 , -   , -   , -   ,0.0%,,
,AME004,B016H,2025, 0.5 , 54 , 108 , -   , -   , -   ,0.0%,,
AME,AME004,B017A,2013, 2.0 , 244 , 122 , -   , -   , -   ,0.0%,,
AME,AME004,B017B,2018, 4.2 , 438 , 104 , -   , -   , -   ,0.0%,,
AME,AME004,B017C,2019, 0.5 , 75 , 150 , -   , -   , -   ,0.0%,,
AME,AME004,B017D,2021, 0.1 , 14 , 140 , -   , -   , -   ,0.0%,,
AME,AME004,B017E,2022, 2.9 , 391 , 135 , -   , -   , -   ,0.0%,,
AME,AME004,B017F,2023, 3.9 , 551 , 141 , -   , -   , -   ,0.0%,,
AME,AME004,B018A,2012, 35.8 ," 4,277 ", 119 , 51 , 16 , 67 ,1.6%,,
AME,AME004,B019A,2011, 30.1 ," 3,497 ", 116 , 220 , 45 , 265 ,7.6%, 30.1 , 265 
AME,AME004,B020A,2011, 30.5 ," 3,521 ", 115 , 200 , 43 , 243 ,6.9%,,
AME,AME004,B021A,2013, 30.0 ," 3,597 ", 120 , 174 , 33 , 207 ,5.8%,,
AME,AME004,B021B,2017, 1.4 , 190 , 136 , 13 , 4 , 17 ,8.9%,,
AME,AME004,B022A,2013, 12.9 ," 1,211 ", 94 , 117 , 21 , 138 ,11.4%,,
AME,AME004,B024A,2021, 0.6 , 84 , 140 , -   , -   , -   ,0.0%,,
AME,AME004,C012A,2011, 29.7 ," 3,600 ", 121 , 277 , 88 , 365 ,10.1%, 29.7 , 365 
AME,AME004,C013A,2013, 29.7 ," 3,608 ", 121 , 216 , 65 , 281 ,7.8%, 29.7 , 281 
AME,AME004,C014A,2012, 29.2 ," 3,736 ", 128 , 151 , 36 , 187 ,5.0%,,
AME,AME004,C015A,2013, 28.9 ," 3,272 ", 113 , 119 , 37 , 156 ,4.8%,,
AME,AME004,C016A,2013, 28.7 ," 3,753 ", 131 , 165 , 47 , 212 ,5.6%,,
AME,AME004,C017A,2013, 26.9 ," 3,504 ", 130 , 141 , 42 , 183 ,5.2%, 26.9 , 183 
AME,AME004,C018A,2012, 27.3 ," 3,380 ", 124 , 109 , 21 , 130 ,3.8%,,
AME,AME004,C018B,2015, 3.0 , 398 , 133 , -   , -   , -   ,0.0%,,
AME,AME004,C019A,2011, 28.2 ," 3,367 ", 119 , 170 , 34 , 204 ,6.1%,,
